"nombre_oficina_canonico","region_id","region_name","lat","lon"
"BAHIA KINO",1,"Golfo de California Norte",28.822778,-111.940833
"CD. OBREGON",1,"Golfo de California Norte",27.489167,-109.935
"GOLFO DE SANTA CLARA",1,"Golfo de California Norte",31.686667,-114.499722
"GUAYMAS",1,"Golfo de California Norte",27.918333,-110.898889
"HERMOSILLO",1,"Golfo de California Norte",28.639722,-111.526389
"MEXICALI",1,"Golfo de California Norte",32.663333,-115.467778
"PUERTO PENASCO",1,"Golfo de California Norte",31.316667,-113.536944
"SAN FELIPE",1,"Golfo de California Norte",31.0275,-114.835278
"BAHIA ASUNCION",2,"Pacifico Baja Norte",27.140278,-114.295833
"BAHIA DE LOS ANGELES",2,"Pacifico Baja Norte",27.917176,-114.549973
"BAHIA TORTUGAS",2,"Pacifico Baja Norte",27.691667,-114.895833
"ENSENADA",2,"Pacifico Baja Norte",31.857778,-116.605833
"GUERRERO NEGRO",2,"Pacifico Baja Norte",27.958889,-114.056111
"ISLA CEDROS",2,"Pacifico Baja Norte",28.095556,-115.192778
"NOGALES",2,"Pacifico Baja Norte",31.318611,-110.945833
"PUERTO LIBERTAD",2,"Pacifico Baja Norte",29.904167,-112.683056
"PUNTA ABREOJOS",2,"Pacifico Baja Norte",26.714444,-113.573889
"SAN QUINTIN",2,"Pacifico Baja Norte",30.443333,-115.991111
"SANTA ROSALIA",2,"Pacifico Baja Norte",27.338889,-112.266944
"TIJUANA",2,"Pacifico Baja Norte",32.534722,-117.043611
"VILLA DE JESUS MARIA",2,"Pacifico Baja Norte",28.281389,-114.001111
"CABO SAN LUCAS",3,"Golfo de California Sur y BCS",22.889722,-109.915556
"CD. CONSTITUCION",3,"Golfo de California Sur y BCS",25.032222,-111.670278
"CULIACAN",3,"Golfo de California Sur y BCS",24.791944,-107.398056
"EL ROSARIO",3,"Golfo de California Sur y BCS",26.170833,-107.867778
"GUASAVE",3,"Golfo de California Sur y BCS",25.573333,-108.470278
"HUATABAMPO",3,"Golfo de California Sur y BCS",26.8275,-109.642222
"LA PAZ",3,"Golfo de California Sur y BCS",24.142222,-110.310833
"LA REFORMA",3,"Golfo de California Sur y BCS",25.081111,-108.055556
"LORETO",3,"Golfo de California Sur y BCS",26.012778,-111.343333
"LOS MOCHIS",3,"Golfo de California Sur y BCS",25.793611,-108.996944
"NAVOLATO",3,"Golfo de California Sur y BCS",24.765556,-107.703056
"PTO. ADOLFO LOPEZ MATEOS",3,"Golfo de California Sur y BCS",25.196389,-112.111389
"SAN CARLOS",3,"Golfo de California Sur y BCS",24.788056,-112.105278
"TOPOLOBAMPO",3,"Golfo de California Sur y BCS",25.629722,-109.055833
"BARRA DE NAVIDAD",4,"Pacifico Nayarit-Guerrero",19.208056,-104.680556
"CRUZ DE HUANACAXTLE",4,"Pacifico Nayarit-Guerrero",20.749167,-105.382222
